Temperatura,Fallback %,Confiança Média,Desvio Padrão,Estabilidade
0.0,0.0,0.5,0.0,0.5714285714285714
0.5,0.0,0.5,0.0,0.5285714285714286
1.0,0.0,0.5,0.0,0.4714285714285714
